Vardas	Pavarde	Vidurkis >= 5 list
Vardas304	Pavarde304	5.00
Vardas822	Pavarde822	5.00
Vardas961	Pavarde961	5.00
Vardas482	Pavarde482	5.00
Vardas953	Pavarde953	5.00
Vardas584	Pavarde584	5.00
Vardas627	Pavarde627	5.00
Vardas481	Pavarde481	5.04
Vardas240	Pavarde240	5.04
Vardas158	Pavarde158	5.04
Vardas498	Pavarde498	5.04
Vardas700	Pavarde700	5.04
Vardas114	Pavarde114	5.04
Vardas262	Pavarde262	5.04
Vardas591	Pavarde591	5.04
Vardas194	Pavarde194	5.08
Vardas950	Pavarde950	5.08
Vardas283	Pavarde283	5.08
Vardas694	Pavarde694	5.08
Vardas505	Pavarde505	5.08
Vardas164	Pavarde164	5.08
Vardas870	Pavarde870	5.08
Vardas593	Pavarde593	5.12
Vardas793	Pavarde793	5.12
Vardas568	Pavarde568	5.12
Vardas549	Pavarde549	5.12
Vardas763	Pavarde763	5.12
Vardas354	Pavarde354	5.16
Vardas331	Pavarde331	5.16
Vardas83	Pavarde83	5.16
Vardas851	Pavarde851	5.16
Vardas785	Pavarde785	5.20
Vardas698	Pavarde698	5.20
Vardas724	Pavarde724	5.20
Vardas462	Pavarde462	5.20
Vardas18	Pavarde18	5.24
Vardas630	Pavarde630	5.24
Vardas629	Pavarde629	5.24
Vardas625	Pavarde625	5.24
Vardas536	Pavarde536	5.24
Vardas926	Pavarde926	5.24
Vardas351	Pavarde351	5.24
Vardas576	Pavarde576	5.24
Vardas84	Pavarde84	5.28
Vardas569	Pavarde569	5.28
Vardas412	Pavarde412	5.28
Vardas503	Pavarde503	5.28
Vardas165	Pavarde165	5.28
Vardas171	Pavarde171	5.32
Vardas667	Pavarde667	5.32
Vardas394	Pavarde394	5.32
Vardas19	Pavarde19	5.32
Vardas905	Pavarde905	5.32
Vardas962	Pavarde962	5.32
Vardas163	Pavarde163	5.36
Vardas90	Pavarde90	5.36
Vardas197	Pavarde197	5.36
Vardas80	Pavarde80	5.36
Vardas365	Pavarde365	5.36
Vardas106	Pavarde106	5.36
Vardas301	Pavarde301	5.36
Vardas863	Pavarde863	5.36
Vardas53	Pavarde53	5.36
Vardas614	Pavarde614	5.36
Vardas263	Pavarde263	5.36
Vardas903	Pavarde903	5.40
Vardas728	Pavarde728	5.40
Vardas491	Pavarde491	5.40
Vardas605	Pavarde605	5.40
Vardas6	Pavarde6	5.44
Vardas975	Pavarde975	5.44
Vardas356	Pavarde356	5.44
Vardas993	Pavarde993	5.44
Vardas990	Pavarde990	5.44
Vardas307	Pavarde307	5.44
Vardas382	Pavarde382	5.44
Vardas7	Pavarde7	5.48
Vardas130	Pavarde130	5.48
Vardas756	Pavarde756	5.48
Vardas280	Pavarde280	5.48
Vardas204	Pavarde204	5.48
Vardas797	Pavarde797	5.48
Vardas892	Pavarde892	5.52
Vardas398	Pavarde398	5.52
Vardas745	Pavarde745	5.52
Vardas919	Pavarde919	5.52
Vardas141	Pavarde141	5.52
Vardas518	Pavarde518	5.52
Vardas115	Pavarde115	5.52
Vardas802	Pavarde802	5.52
Vardas583	Pavarde583	5.52
Vardas685	Pavarde685	5.52
Vardas504	Pavarde504	5.56
Vardas193	Pavarde193	5.56
Vardas140	Pavarde140	5.56
Vardas814	Pavarde814	5.56
Vardas62	Pavarde62	5.56
Vardas224	Pavarde224	5.56
Vardas298	Pavarde298	5.60
Vardas554	Pavarde554	5.60
Vardas884	Pavarde884	5.60
Vardas388	Pavarde388	5.60
Vardas833	Pavarde833	5.60
Vardas154	Pavarde154	5.64
Vardas784	Pavarde784	5.64
Vardas452	Pavarde452	5.64
Vardas160	Pavarde160	5.64
Vardas208	Pavarde208	5.64
Vardas600	Pavarde600	5.68
