Vardas	Pavarde	Vidurkis < 5
Vardas138	Pavarde138	0.96
Vardas425	Pavarde425	1.12
Vardas528	Pavarde528	1.20
Vardas848	Pavarde848	1.20
Vardas610	Pavarde610	1.28
Vardas402	Pavarde402	1.28
Vardas271	Pavarde271	1.32
Vardas297	Pavarde297	1.36
Vardas932	Pavarde932	1.36
Vardas233	Pavarde233	1.36
Vardas409	Pavarde409	1.36
Vardas718	Pavarde718	1.44
Vardas873	Pavarde873	1.48
Vardas748	Pavarde748	1.48
Vardas649	Pavarde649	1.52
Vardas836	Pavarde836	1.52
Vardas811	Pavarde811	1.52
Vardas289	Pavarde289	1.56
Vardas524	Pavarde524	1.60
Vardas48	Pavarde48	1.60
Vardas350	Pavarde350	1.60
Vardas39	Pavarde39	1.60
Vardas699	Pavarde699	1.68
Vardas960	Pavarde960	1.68
Vardas687	Pavarde687	1.68
Vardas553	Pavarde553	1.68
Vardas125	Pavarde125	1.68
Vardas87	Pavarde87	1.72
Vardas16	Pavarde16	1.72
Vardas891	Pavarde891	1.76
Vardas661	Pavarde661	1.76
Vardas199	Pavarde199	1.76
Vardas825	Pavarde825	1.76
Vardas129	Pavarde129	1.76
Vardas458	Pavarde458	1.76
Vardas13	Pavarde13	1.76
Vardas327	Pavarde327	1.80
Vardas563	Pavarde563	1.80
Vardas488	Pavarde488	1.80
Vardas749	Pavarde749	1.84
Vardas940	Pavarde940	1.84
Vardas746	Pavarde746	1.88
Vardas20	Pavarde20	1.88
Vardas319	Pavarde319	1.88
Vardas463	Pavarde463	1.88
Vardas513	Pavarde513	1.92
Vardas404	Pavarde404	1.92
Vardas206	Pavarde206	1.92
Vardas121	Pavarde121	1.92
Vardas770	Pavarde770	1.92
Vardas611	Pavarde611	1.92
Vardas908	Pavarde908	1.92
Vardas983	Pavarde983	1.96
Vardas325	Pavarde325	1.96
Vardas416	Pavarde416	1.96
Vardas839	Pavarde839	1.96
Vardas800	Pavarde800	1.96
Vardas159	Pavarde159	1.96
Vardas336	Pavarde336	1.96
Vardas127	Pavarde127	1.96
Vardas285	Pavarde285	2.00
Vardas832	Pavarde832	2.00
Vardas979	Pavarde979	2.00
Vardas707	Pavarde707	2.04
Vardas691	Pavarde691	2.04
Vardas826	Pavarde826	2.04
Vardas898	Pavarde898	2.04
Vardas92	Pavarde92	2.04
Vardas766	Pavarde766	2.04
Vardas368	Pavarde368	2.08
Vardas349	Pavarde349	2.08
Vardas377	Pavarde377	2.08
Vardas189	Pavarde189	2.12
Vardas896	Pavarde896	2.12
Vardas641	Pavarde641	2.16
Vardas227	Pavarde227	2.16
Vardas139	Pavarde139	2.16
Vardas587	Pavarde587	2.20
Vardas292	Pavarde292	2.20
Vardas945	Pavarde945	2.20
Vardas976	Pavarde976	2.20
Vardas266	Pavarde266	2.24
Vardas912	Pavarde912	2.24
Vardas281	Pavarde281	2.24
Vardas264	Pavarde264	2.24
Vardas706	Pavarde706	2.24
Vardas741	Pavarde741	2.24
Vardas875	Pavarde875	2.28
Vardas652	Pavarde652	2.28
Vardas341	Pavarde341	2.28
Vardas74	Pavarde74	2.28
Vardas8	Pavarde8	2.32
Vardas835	Pavarde835	2.32
Vardas59	Pavarde59	2.32
Vardas918	Pavarde918	2.32
Vardas30	Pavarde30	2.32
Vardas612	Pavarde612	2.32
Vardas671	Pavarde671	2.32
Vardas217	Pavarde217	2.36
Vardas974	Pavarde974	2.36
Vardas430	Pavarde430	2.36
Vardas725	Pavarde725	2.36
Vardas767	Pavarde767	2.36
Vardas846	Pavarde846	2.36
Vardas967	Pavarde967	2.36
Vardas461	Pavarde461	2.36
Vardas109	Pavarde109	2.40
Vardas562	Pavarde562	2.40
Vardas682	Pavarde682	2.40
Vardas894	Pavarde894	2.40
Vardas73	Pavarde73	2.44
Vardas759	Pavarde759	2.44
Vardas751	Pavarde751	2.44
Vardas988	Pavarde988	2.48
Vardas713	Pavarde713	2.48
Vardas205	Pavarde205	2.48
Vardas915	Pavarde915	2.48
Vardas565	Pavarde565	2.48
Vardas94	Pavarde94	2.48
Vardas709	Pavarde709	2.52
Vardas803	Pavarde803	2.52
Vardas31	Pavarde31	2.52
Vardas683	Pavarde683	2.52
Vardas397	Pavarde397	2.52
Vardas232	Pavarde232	2.52
Vardas133	Pavarde133	2.56
Vardas142	Pavarde142	2.56
Vardas219	Pavarde219	2.56
Vardas585	Pavarde585	2.56
Vardas57	Pavarde57	2.56
Vardas944	Pavarde944	2.56
Vardas411	Pavarde411	2.56
Vardas521	Pavarde521	2.56
Vardas273	Pavarde273	2.60
Vardas545	Pavarde545	2.60
Vardas91	Pavarde91	2.60
Vardas799	Pavarde799	2.60
Vardas459	Pavarde459	2.64
Vardas907	Pavarde907	2.64
Vardas257	Pavarde257	2.64
Vardas663	Pavarde663	2.64
Vardas405	Pavarde405	2.64
Vardas965	Pavarde965	2.64
Vardas654	Pavarde654	2.64
Vardas278	Pavarde278	2.64
Vardas880	Pavarde880	2.64
Vardas493	Pavarde493	2.68
Vardas423	Pavarde423	2.68
Vardas740	Pavarde740	2.68
Vardas602	Pavarde602	2.68
Vardas246	Pavarde246	2.68
Vardas220	Pavarde220	2.68
Vardas847	Pavarde847	2.72
Vardas225	Pavarde225	2.72
Vardas93	Pavarde93	2.72
Vardas604	Pavarde604	2.72
Vardas578	Pavarde578	2.72
Vardas60	Pavarde60	2.72
Vardas276	Pavarde276	2.72
Vardas286	Pavarde286	2.72
Vardas794	Pavarde794	2.76
Vardas66	Pavarde66	2.76
Vardas968	Pavarde968	2.76
Vardas311	Pavarde311	2.80
Vardas234	Pavarde234	2.80
Vardas702	Pavarde702	2.80
Vardas421	Pavarde421	2.84
Vardas917	Pavarde917	2.84
Vardas684	Pavarde684	2.84
Vardas290	Pavarde290	2.84
Vardas35	Pavarde35	2.88
Vardas200	Pavarde200	2.88
Vardas226	Pavarde226	2.88
Vardas755	Pavarde755	2.88
Vardas606	Pavarde606	2.88
Vardas872	Pavarde872	2.88
Vardas838	Pavarde838	2.88
Vardas369	Pavarde369	2.88
Vardas230	Pavarde230	2.88
Vardas198	Pavarde198	2.88
Vardas936	Pavarde936	2.88
Vardas56	Pavarde56	2.88
Vardas272	Pavarde272	2.88
Vardas363	Pavarde363	2.92
Vardas508	Pavarde508	2.92
Vardas277	Pavarde277	2.92
Vardas984	Pavarde984	2.92
Vardas472	Pavarde472	2.96
Vardas849	Pavarde849	2.96
Vardas312	Pavarde312	2.96
Vardas238	Pavarde238	2.96
Vardas662	Pavarde662	2.96
Vardas639	Pavarde639	2.96
Vardas465	Pavarde465	2.96
Vardas982	Pavarde982	2.96
Vardas237	Pavarde237	3.00
Vardas696	Pavarde696	3.00
Vardas942	Pavarde942	3.00
Vardas869	Pavarde869	3.00
Vardas818	Pavarde818	3.00
Vardas897	Pavarde897	3.00
Vardas148	Pavarde148	3.00
Vardas743	Pavarde743	3.00
Vardas5	Pavarde5	3.00
Vardas417	Pavarde417	3.00
Vardas501	Pavarde501	3.04
Vardas390	Pavarde390	3.04
Vardas529	Pavarde529	3.04
Vardas242	Pavarde242	3.04
Vardas853	Pavarde853	3.04
Vardas153	Pavarde153	3.04
Vardas633	Pavarde633	3.04
Vardas703	Pavarde703	3.08
Vardas773	Pavarde773	3.08
